7478	WNT8A	wingless-type MMTV integration site family, member 8A								GO_SIGNAL_TRANSDUCER_ACTIVITY	ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
7471	WNT1	wingless-type MMTV integration site family, member 1								GO_SIGNAL_TRANSDUCER_ACTIVITY		
646643	SBK2	SH3-binding domain kinase family, member 2								GO_SIGNAL_TRANSDUCER_ACTIVITY		
57829	ZP4	zona pellucida glycoprotein 4								GO_SIGNAL_TRANSDUCER_ACTIVITY		
8471	IRS4	insulin receptor substrate 4								GO_SIGNAL_TRANSDUCER_ACTIVITY		
136991	ASZ1	ankyrin repeat, SAM and basic leucine zipper domain containing 1								GO_SIGNAL_TRANSDUCER_ACTIVITY		
89869	PLCZ1	phospholipase C, zeta 1								GO_SIGNAL_TRANSDUCER_ACTIVITY		
80122	YSK4	YSK4 Sps1/Ste20-related kinase homolog (S. cerevisiae)								GO_SIGNAL_TRANSDUCER_ACTIVITY		
117579	RLN3	relaxin 3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	REACTOME_GPCR_DOWNSTREAM_SIGNALING
27039	PKD2L2	polycystic kidney disease 2-like 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
1179	CLCA1	chloride channel accessory 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
6534	SLC6A7	solute carrier family 6 (neurotransmitter transporter, L-proline), member 7									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
3746	KCNC1	potassium voltage-gated channel, Shaw-related subfamily, member 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
83697	SLC4A9	solute carrier family 4, sodium bicarbonate cotransporter, member 9									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
27012	KCNV1	potassium channel, subfamily V, member 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
85413	SLC22A16	solute carrier family 22 (organic cation/carnitine transporter), member 16									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
340273	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
492	ATP2B3	ATPase, Ca++ transporting, plasma membrane 3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
221074	SLC39A12	solute carrier family 39 (zinc transporter), member 12									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
735	C9	complement component 9									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
729956	SHISA7	shisa homolog 7 (Xenopus laevis)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
3809	KIR2DS4	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
26526	TSPAN16	tetraspanin 16									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
112802	KRT71	keratin 71									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
319101	KRT73	keratin 73									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
83897	KRTAP3-2	keratin associated protein 3-2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
3850	KRT3	keratin 3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
3890	KRT84	keratin 84									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
81872	KRTAP2-1	keratin associated protein 2-1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
387266	KRTAP5-3	keratin associated protein 5-3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
439915	KRTAP5-5	keratin associated protein 5-5									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
50674	NEUROG3	neurogenin 3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
55079	FEZF2	FEZ family zinc finger 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
84639	IL1F10	interleukin 1 family, member 10 (theta)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
126638	RPTN	repetin									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
390664	C1QTNF8	C1q and tumor necrosis factor related protein 8									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
79981	FRMD1	FERM domain containing 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
30848	CTAG2	cancer/testis antigen 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
353131	LCE1A	late cornified envelope 1A									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
157848	NKX6-3	NK6 homeobox 3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
390999	PRAMEF12	PRAME family member 12									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
220296	HEPACAM	hepatic and glial cell adhesion molecule									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
3817	KLK2	kallikrein-related peptidase 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
201243	C17orf74	chromosome 17 open reading frame 74									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
284418	FAM71E2	family with sequence similarity 71, member E2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
116519	APOA5	apolipoprotein A-V									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
64211	LHX5	LIM homeobox 5									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
54738	FEV	FEV (ETS oncogene family)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
222894	FERD3L	Fer3-like (Drosophila)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
63978	PRDM14	PR domain containing 14									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
6862	T	T, brachyury homolog (mouse)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
8022	LHX3	LIM homeobox 3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
83741	TFAP2D	transcription factor AP-2 delta (activating enhancer binding protein 2 delta)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
401	PHOX2A	paired-like homeobox 2a									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
5075	PAX1	paired box 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
219409	GSX1	GS homeobox 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
3167	HMX2	H6 family homeobox 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
51412	ACTL6B	actin-like 6B									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
154288	C6orf221	chromosome 6 open reading frame 221									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
50616	IL22	interleukin 22									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
10143	CLEC3A	C-type lectin domain family 3, member A									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
8749	ADAM18	ADAM metallopeptidase domain 18									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
100131137	BSPH1	binder of sperm protein homolog 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
3467	IFNW1	interferon, omega 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
3697	ITIH1	inter-alpha-trypsin inhibitor heavy chain 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
166752	FREM3	FRAS1 related extracellular matrix 3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
343641	TGM6	transglutaminase 6									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
126637	TCHHL1	trichohyalin-like 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
49860	CRNN	cornulin									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
387836	CLEC2A	C-type lectin domain family 2, member A									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
29124	LGALS13	lectin, galactoside-binding, soluble, 13									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
131368	ZPLD1	zona pellucida-like domain containing 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
6658	SOX3	SRY (sex determining region Y)-box 3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
57626	KLHL1	kelch-like 1 (Drosophila)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
1553	CYP2A13	cytochrome P450, family 2, subfamily A, polypeptide 13									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
150572	SMYD1	SET and MYND domain containing 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
85508	SCRT2	scratch homolog 2, zinc finger protein (Drosophila)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
131920	TMEM207	transmembrane protein 207									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
203430	ZCCHC5	zinc finger, CCHC domain containing 5									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
285051	C2orf61	chromosome 2 open reading frame 61									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
3047	HBG1	hemoglobin, gamma A									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
319	APOF	apolipoprotein F									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
127124	ATP6V1G3	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
132204	SYNPR	synaptoporin									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
389812	LCN15	lipocalin 15									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
392399	LCN9	lipocalin 9									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
375318	AQP12A	aquaporin 12A									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
7141	TNP1	transition protein 1 (during histone to protamine replacement)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
341567	H1FNT	H1 histone family, member N, testis-specific									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
445582	POTEE	POTE ankyrin domain family, member E									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
131375	LYZL4	lysozyme-like 4									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
9502	XAGE2	X antigen family, member 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
343071	PRAMEF10	PRAME family member 10									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
2765	GML	glycosylphosphatidylinositol anchored molecule like protein									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
148581	UBE2U	ubiquitin-conjugating enzyme E2U (putative)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
55554	KLK15	kallikrein-related peptidase 15									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
205860	TRIML2	tripartite motif family-like 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
90737	PAGE5	P antigen family, member 5 (prostate associated)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
338599	DUPD1	dual specificity phosphatase and pro isomerase domain containing 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
56154	TEX15	testis expressed 15									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
124626	ZPBP2	zona pellucida binding protein 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
58531	PRM3	protamine 3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
402381	SOHLH1	spermatogenesis and oogenesis specific basic helix-loop-helix 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
147872	CCDC155	coiled-coil domain containing 155									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
81626	SHCBP1L	SHC SH2-domain binding protein 1-like									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
55811	ADCY10	adenylate cyclase 10 (soluble)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
128209	KLF17	Kruppel-like factor 17									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
7455	ZAN	zonadhesin									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
5675	PSG6	pregnancy specific beta-1-glycoprotein 6									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
2160	F11	coagulation factor XI									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
1504	CTRB1	chymotrypsinogen B1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
325	APCS	amyloid P component, serum									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
221223	CES5A	carboxylesterase 5A									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
3078	CFHR1	complement factor H-related 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
440387	CTRB2	chymotrypsinogen B2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
149998	LIPI	lipase, member I									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
6736	SRY	sex determining region Y									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
145645	C15orf43	chromosome 15 open reading frame 43									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
338321	NLRP9	NLR family, pyrin domain containing 9									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
143501	C11orf40	chromosome 11 open reading frame 40									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
389075	RESP18	regulated endocrine-specific protein 18 homolog (rat)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
22895	RPH3A	rabphilin 3A homolog (mouse)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
3238	HOXD12	homeobox D12									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
3175	ONECUT1	one cut homeobox 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
440730	TRIM67	tripartite motif containing 67									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
9758	FRMPD4	FERM and PDZ domain containing 4									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
1005	CDH7	cadherin 7, type 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
222546	RFX6	regulatory factor X, 6									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
124535	HSF5	heat shock transcription factor family member 5									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
220047	CCDC83	coiled-coil domain containing 83									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
54212	SNTG1	syntrophin, gamma 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
353137	LCE1F	late cornified envelope 1F									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
353133	LCE1C	late cornified envelope 1C									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
353144	LCE3C	late cornified envelope 3C									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
100129271	C1orf68	chromosome 1 open reading frame 68									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
3982	LIM2	lens intrinsic membrane protein 2, 19kDa									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
727857	BHLHA9	basic helix-loop-helix family, member a9									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
643834	PGA3	pepsinogen 3, group I (pepsinogen A)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
348158	ACSM2B	acyl-CoA synthetase medium-chain family member 2B									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
494118	SPANXN1	SPANX family, member N1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
390259	BSX	brain-specific homeobox									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
27164	SALL3	sal-like 3 (Drosophila)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
91464	ISX	intestine-specific homeobox									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
55821	ALLC	allantoicase									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
115653	KIR3DL3	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
51438	MAGEC2	melanoma antigen family C, 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
10917	BTNL3	butyrophilin-like 3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
2980	GUCA2A	guanylate cyclase activator 2A (guanylin)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
50514	DEC1	deleted in esophageal cancer 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
147409	DSG4	desmoglein 4									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
5222	PGA5	pepsinogen 5, group I (pepsinogen A)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
643847	PGA4	pepsinogen 4, group I (pepsinogen A)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
5897	RAG2	recombination activating gene 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
128025	WDR64	WD repeat domain 64									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
4108	MAGEA9	melanoma antigen family A, 9									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
134187	POU5F2	POU domain class 5, transcription factor 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
1791	DNTT	deoxynucleotidyltransferase, terminal									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
140870	WFDC6	WAP four-disulfide core domain 6									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
256130	TMEM196	transmembrane protein 196									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
100130613	CXorf64	chromosome X open reading frame 64									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
340168	DPPA5	developmental pluripotency associated 5									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
84103	C4orf17	chromosome 4 open reading frame 17									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
58530	LY6G6D	lymphocyte antigen 6 complex, locus G6D									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
339221	ENPP7	ectonucleotide pyrophosphatase/phosphodiesterase 7									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
91734	IDI2	isopentenyl-diphosphate delta isomerase 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
120935	CCDC38	coiled-coil domain containing 38									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
93377	OPALIN	oligodendrocytic myelin paranodal and inner loop protein									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
729627	PRR23A	proline rich 23A									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
154313	C6orf165	chromosome 6 open reading frame 165									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
404552	SCGB1D4	secretoglobin, family 1D, member 4									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
5545	PRB4	proline-rich protein BstNI subfamily 4									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
5232	PGK2	phosphoglycerate kinase 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
147199	SCGB1C1	secretoglobin, family 1C, member 1									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
388428	AATK-AS1	AATK antisense RNA 1 (non-protein coding)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
643904	RNF222	ring finger protein 222									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
9506	PAGE4	P antigen family, member 4 (prostate associated)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
400668	PRSS57	protease, serine, 57									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
55363	HEMGN	hemogen									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
286464	CXorf59	chromosome X open reading frame 59									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
440163	RNASE13	ribonuclease, RNase A family, 13 (non-active)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
729665	C14orf38	chromosome 14 open reading frame 38									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
169355	IDO2	indoleamine 2,3-dioxygenase 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
145814	PGPEP1L	pyroglutamyl-peptidase I-like									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
440533	PSG8	pregnancy specific beta-1-glycoprotein 8									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
503835	DUXA	double homeobox A									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
149954	BPIFB4	BPI fold containing family B, member 4									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
641372	ACOT6	acyl-CoA thioesterase 6									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
344807	CD200R1L	CD200 receptor 1-like									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
390616	ANKRD34C	ankyrin repeat domain 34C									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
56157	TEX13A	testis expressed 13A									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
152405	C3orf30	chromosome 3 open reading frame 30									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
146849	CCDC42	coiled-coil domain containing 42									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
135927	C7orf34	chromosome 7 open reading frame 34									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
139793	PAGE3	P antigen family, member 3 (prostate associated)									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
283685	GOLGA6L2	golgin A6 family-like 2									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
254187	TSGA10IP	testis specific, 10 interacting protein									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
259239	WFDC11	WAP four-disulfide core domain 11									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
256979	SUN3	Sad1 and UNC84 domain containing 3									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
222826	C6orf146	chromosome 6 open reading frame 146									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
441521	CT45A5	cancer/testis antigen family 45, member A5									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
196541	METTL21C	methyltransferase like 21C									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
653149	NBPF6	neuroblastoma breakpoint family, member 6									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
253582	C6orf191	chromosome 6 open reading frame 191									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
259215	LY6G6F	lymphocyte antigen 6 complex, locus G6F									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
388649	C1orf146	chromosome 1 open reading frame 146									ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	
57113	TRPC7	transient receptor potential cation channel, subfamily C, member 7										REACTOME_GPCR_DOWNSTREAM_SIGNALING
10022	INSL5	insulin-like 5										REACTOME_GPCR_DOWNSTREAM_SIGNALING
1081	CGA	glycoprotein hormones, alpha polypeptide										REACTOME_GPCR_DOWNSTREAM_SIGNALING
797	CALCB	calcitonin-related polypeptide beta										REACTOME_GPCR_DOWNSTREAM_SIGNALING
431704	RGS21	regulator of G-protein signaling 21										REACTOME_GPCR_DOWNSTREAM_SIGNALING
7484	WNT9B	wingless-type MMTV integration site family, member 9B										
50508	NOX3	NADPH oxidase 3										
57582	KCNT1	potassium channel, subfamily T, member 1										
55515	ACCN4	amiloride-sensitive cation channel 4, pituitary										
6569	SLC34A1	solute carrier family 34 (sodium phosphate), member 1										
340024	SLC6A19	solute carrier family 6 (neutral amino acid transporter), member 19										
348932	SLC6A18	solute carrier family 6, member 18										
495	ATP4A	ATPase, H+/K+ exchanging, alpha polypeptide										
6521	SLC4A1	solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)										
89872	AQP10	aquaporin 10										
116085	SLC22A12	solute carrier family 22 (organic anion/urate transporter), member 12										
1088	CEACAM8	carcinoembryonic antigen-related cell adhesion molecule 8										
56141	PCDHA7	protocadherin alpha 7										
375567	VWC2	von Willebrand factor C domain containing 2										
90134	KCNH7	potassium voltage-gated channel, subfamily H (eag-related), member 7										
3785	KCNQ2	potassium voltage-gated channel, KQT-like subfamily, member 2										
